fulladdr,placename,usngcoord,parcelnum
7339 Commercial Cir,,17R NL 58897 38890,133580100300000
7337 Commercial Cir,,17R NL 58990 38891,133580100300000
2319 Tamarind Dr UNIT 101,,17R NL 69497 39873,143660300130007
2319 Tamarind Dr UNIT 102,,17R NL 69500 39869,143660300130007
2319 Tamarind Dr UNIT 103,,17R NL 69504 39864,143660300130007
2319 Tamarind Dr UNIT 201,,17R NL 69491 39870,143660300130007
2319 Tamarind Dr UNIT 202,,17R NL 69494 39865,143660300130007
3779 Oleander Ave,,17R NL 65755 30002,243313100010006
3777 Oleander Ave,,17R NL 65761 29995,243313100010006
3775 Oleander Ave,,17R NL 65768 30001,243313100010006
3773 Oleander Ave,,17R NL 65775 29995,243313100010006
3769 Oleander Ave,,17R NL 65786 29995,243313100010006
3767 Oleander Ave,,17R NL 65793 30000,243313100010006
3765 Oleander Ave,,17R NL 65799 29995,243313100010006
3799 Oleander Ave,,17R NL 65674 30004,243313100010006
3797 Oleander Ave,,17R NL 65680 29998,243313100010006
3793 Oleander Ave,,17R NL 65693 29997,243313100010006
3791 Oleander Ave,,17R NL 65699 30003,243313100010006
3789 Oleander Ave,,17R NL 65705 29997,243313100010006
3783 Oleander Ave,,17R NL 65724 30002,243313100010006
3785 Oleander Ave,,17R NL 65718 29997,243313100010006
877 S Kings Hwy UNIT A106,,17R NL 59339 35513,231144300010009
879 S Kings Hwy UNIT A107,FIRST SOURCE COMMERCE PARK,17R NL 59321 35507,231144300010009
881 S Kings Hwy UNIT A108,FIRST SOURCE COMMERCE PARK,17R NL 59313 35517,231144300010009
885 S Kings Hwy UNIT A110,FIRST SOURCE COMMERCE PARK,17R NL 59295 35517,231144300010009
887 S Kings Hwy UNIT A111,FIRST SOURCE COMMERCE PARK,17R NL 59284 35507,231144300010009
889 S Kings Hwy UNIT A112,FIRST SOURCE COMMERCE PARK,17R NL 59275 35517,231144300010009
891 S Kings Hwy UNIT A113,FIRST SOURCE COMMERCE PARK,17R NL 59263 35508,231144300010009
867 S Kings Hwy UNIT A101,,17R NL 59344 35468,231144300010009
873 S Kings Hwy UNIT A104,,17R NL 59333 35489,231144300010009
875 S Kings Hwy UNIT A105,,17R NL 59341 35496,231144300010009
841 S Kings Hwy UNIT B101,,17R NL 59266 35399,231144300010009
843 S Kings Hwy UNIT B102,,17R NL 59276 35405,231144300010009
845 S Kings Hwy UNIT B103,,17R NL 59286 35398,231144300010009
847 S Kings Hwy UNIT B104,,17R NL 59296 35406,231144300010009
849 S Kings Hwy UNIT B105,,17R NL 59304 35398,231144300010009
851 S Kings Hwy UNIT B106,,17R NL 59314 35405,231144300010009
855 S Kings Hwy UNIT B108,,17R NL 59344 35401,231144300010009
857 S Kings Hwy UNIT B109,,17R NL 59337 35417,231144300010009
859 S Kings Hwy UNIT B110,,17R NL 59345 35425,231144300010009
861 S Kings Hwy UNIT B111,,17R NL 59336 35431,231144300010009
863 S Kings Hwy UNIT B112,,17R NL 59345 35437,231144300010009
865 S Kings Hwy UNIT B113,,17R NL 59335 35446,231144300010009
837 S Kings Hwy UNIT C108,,17R NL 59212 35398,231144300010009
833 S Kings Hwy UNIT C106,,17R NL 59196 35397,231144300010009
831 S Kings Hwy UNIT C105,,17R NL 59189 35408,231144300010009
835 S Kings Hwy UNIT C107,,17R NL 59204 35408,231144300010009
839 S Kings Hwy UNIT C109,,17R NL 59219 35408,231144300010009
827 S Kings Hwy UNIT C103,,17R NL 59174 35408,231144300010009
823 S Kings Hwy UNIT C101,,17R NL 59159 35408,231144300010009
829 S Kings Hwy UNIT C104,,17R NL 59181 35398,231144300010009
825 S Kings Hwy UNIT C102,,17R NL 59165 35399,231144300010009
4190 Gator Greens Way UNIT PH1,,17R NL 67364 29715,243414100030004
4190 Gator Greens Way UNIT 11,,17R NL 67368 29720,243414100030004
4190 Gator Greens Way UNIT 12,,17R NL 67381 29722,243414100030004
4190 Gator Greens Way UNIT 23,,17R NL 67366 29725,243414100030004
4190 Gator Greens Way UNIT 24,,17R NL 67379 29727,243414100030004
4190 Gator Greens Way UNIT 25,,17R NL 67392 29730,243414100030004
4190 Gator Greens Way UNIT 33,,17R NL 67366 29727,243414100030004
4190 Gator Greens Way UNIT PH2,,17R NL 67364 29731,243414100030004
4190 Gator Greens Way UNIT 34,,17R NL 67379 29729,243414100030004
4190 Gator Greens Way UNIT PH3,,17R NL 67377 29733,243414100030004
4190 Gator Greens Way UNIT 35,,17R NL 67392 29732,243414100030004
4190 Gator Greens Way UNIT PH4,,17R NL 67390 29736,243414100030004
4190 Gator Greens Way UNIT 31,,17R NL 67370 29712,243414100030004
4190 Gator Greens Way UNIT 32,,17R NL 67360 29711,243414100030004
4190 Gator Greens Way UNIT 21,,17R NL 67371 29706,243414100030004
4190 Gator Greens Way UNIT 22,,17R NL 67361 29706,243414100030004
4190 Gator Greens Way UNIT PH5,,17R NL 67397 29721,243414100030004
4190 Gator Greens Way UNIT 13,,17R NL 67393 29725,243414100030004
4190 Gator Greens Way UNIT 26,,17R NL 67405 29713,243414100030004
4190 Gator Greens Way UNIT 27,,17R NL 67395 29712,243414100030004
4190 Gator Greens Way UNIT 36,,17R NL 67402 29719,243414100030004
4190 Gator Greens Way UNIT 37,,17R NL 67392 29718,243414100030004
8650 S Ocean Dr UNIT 702,Regency Island Dunes Bldg 1,17R NL 77227 20447,353450100320000
4250 N Highway A1A,Ocean Harbour South Building A,17R NL 68491 43345,14235010000000
4200 N Highway A1A,Ocean Harbour South Building B,17R NL 68518 43254,14235010000000
3787 Oleander Ave,,17R NL 65712 30002,243313100010006
3763 Oleander Ave,,17R NL 65805 30000,243313100010006
2319 Tamarind Dr UNIT 203,,17R NL 69497 39861,143660300130007
10738 S Ocean Dr,Vistana Beach Club,,451152100000008
